X Gaze Data, Y Gaze Data, Time 
2161,990,241209921
2162,995,241209932
2164,999,241209944
2164,1000,241209956
2160,1004,241209965
2152,1006,241209978
2154,1006,241209988
2144,997,241210001
2151,994,241210010
2185,973,241210021
2184,973,241210033
2180,973,241210044
2174,977,241210054
2174,977,241210066
2172,972,241210077
2172,972,241210088
2168,974,241210100
2166,976,241210112
2159,985,241210121
2153,994,241210133
2149,997,241210144
2148,999,241210154
2144,991,241210165
2139,995,241210177
2135,1005,241210188
2135,1014,241210199
2135,1017,241210212
2136,1016,241210221
2134,1016,241210233
2134,1013,241210244
2131,1012,241210254
2152,1006,241209978
2154,1006,241209988
2144,997,241210001
2151,994,241210010
2185,973,241210021
2184,973,241210033
2180,973,241210044
2174,977,241210054
2174,977,241210066
2172,972,241210077
2172,972,241210088
2168,974,241210100
2166,976,241210112
2159,985,241210121
2153,994,241210133
2149,997,241210144
2148,999,241210154
2144,991,241210165
2139,995,241210177
2135,1005,241210188
2135,1014,241210199
2135,1017,241210212
2136,1016,241210221
2134,1016,241210233
2134,1013,241210244
2131,1012,241210254
2123,1013,241210265
2122,1009,241210277
2119,1009,241210288
2115,1009,241210299
2114,1008,241210312
2123,1013,241210265
2122,1009,241210277
2119,1009,241210288
2115,1009,241210299
2114,1008,241210312
2124,993,241210321
2142,970,241210332
2144,966,241210343
2147,956,241210354
2148,947,241210367
2140,935,241210377
2144,913,241210387
2145,906,241210398
2148,927,241210410
2166,913,241210420
2217,995,241210430
2223,1397,241210555
2223,1397,241210566
2264,1142,241210579
2245,767,241210590
2243,762,241210601
2231,779,241210613
2215,785,241210626
2208,785,241210635
2204,775,241210646
2201,774,241210657
2197,758,241210668
2198,760,241210679
2193,761,241210690
2189,763,241210701
2176,774,241210714
2173,781,241210723
2176,788,241210735
2178,789,241210746
2177,790,241210757
2175,784,241210768
2176,783,241210779
2178,781,241210790
2180,781,241210801
2185,781,241210812
2184,780,241210823
2178,782,241210835
2173,785,241210846
2173,789,241210857
2173,796,241210867
2176,797,241210879
2180,804,241210890
2181,809,241210901
2176,814,241210911
1876,846,241211001
1932,788,241211012
2138,696,241211023
2154,701,241211034
2158,713,241211046
2159,709,241211057
2154,686,241211071
2155,676,241211080
2157,672,241211090
2172,679,241211101
2170,687,241211112
2176,678,241211123
2175,681,241211168
2171,665,241211185
2165,661,241211200
2159,666,241211201
2163,662,241211213
2167,662,241211224
2173,674,241211234
2172,678,241211246
2169,684,241211256
2165,685,241211267
2166,685,241211279
2181,667,241211290
2186,661,241211300
2183,663,241211312
2178,651,241211323
2177,649,241211335
2171,652,241211345
2175,654,241211356
2176,653,241211367
2179,648,241211379
2178,634,241211391
2178,638,241211404
2178,632,241211412
2183,635,241211422
2362,738,241211433
2371,747,241211445
2440,901,241211456
2456,1060,241211466
2558,1321,241211479
2488,1141,241211489
2457,1070,241211500
2418,979,241211526
2375,890,241211530
2277,675,241211535
