X Gaze Data, Y Gaze Data, Time 
2281,1449,245007462
2277,1454,245007474
2277,1455,245007485
2274,1455,245007495
2261,1452,245007510
2240,1449,245007518
2182,1442,245007531
2173,1441,245007540
2156,1436,245007551
2155,1434,245007562
2150,1427,245007573
2126,1417,245007585
2126,1411,245007597
2125,1410,245007607
2127,1412,245007618
2127,1412,245007629
2120,1400,245007640
2108,1388,245007651
2104,1382,245007663
2104,1384,245007674
2108,1386,245007685
2109,1386,245007695
2110,1386,245007710
2111,1387,245007718
2119,1391,245007730
2119,1393,245007740
2119,1394,245007751
2120,1395,245007762
2123,1396,245007773
2132,1397,245007792
2152,1398,245007798
2212,1388,245007807
2223,1386,245007818
2241,1383,245007829
2253,1381,245007840
2241,1383,245007829
2253,1381,245007840
2280,1381,245007851
2310,1379,245007863
2337,1373,245007874
2338,1372,245007885
2337,1362,245007895
2335,1356,245007912
2334,1354,245007920
2333,1354,245007928
2333,1352,245007940
2331,1350,245007953
2325,1350,245007962
2324,1352,245007974
2319,1356,245007984
2318,1360,245007995
2314,1365,245008007
2314,1361,245008037
2310,1364,245008044
2125,1391,245008052
2074,1394,245008062
2046,1395,245008074
2015,1395,245008085
2000,1396,245008099
1984,1408,245008107
1982,1415,245008124
1981,1419,245008129
1982,1423,245008140
1979,1422,245008151
1979,1420,245008162
1979,1417,245008174
1973,1413,245008185
1965,1408,245008195
1947,1398,245008207
1916,1396,245008218
1883,1387,245008229
1800,1358,245008240
1508,1301,245008251
1504,1300,245008264
1496,1297,245008274
1509,1277,245008284
1491,1271,245008295
1482,1268,245008306
1486,1263,245008318
1480,1260,245008328
1481,1252,245008340
1484,1243,245008352
1484,1241,245008362
1486,1241,245008373
1496,1242,245008385
1491,1239,245008395
1492,1240,245008406
1489,1242,245008418
1489,1244,245008428
1481,1244,245008441
1478,1249,245008451
1472,1253,245008463
1469,1257,245008475
1467,1262,245008484
1467,1267,245008495
1464,1270,245008506
1463,1269,245008517
1461,1261,245008529
1449,1249,245008541
1447,1248,245008552
1448,1248,245008563
1451,1249,245008574
1464,1244,245008584
1467,1245,245008595
1470,1244,245008607
1475,1245,245008618
1475,1246,245008628
1463,1249,245008639
1419,1242,245008651
1431,1245,245008665
1417,1252,245008673
1401,1266,245008684
1393,1269,245008695
1391,1269,245008706
1386,1272,245008717
1382,1274,245008728
1373,1272,245008739
1368,1271,245008751
1359,1275,245008761
1360,1276,245008773
1359,1273,245008784
1362,1264,245008794
1363,1267,245008806
1364,1265,245008819
1362,1266,245008828
1363,1268,245008840
1364,1274,245008852
1368,1282,245008861
1367,1286,245008873
1365,1284,245008884
1362,1280,245008894
1362,1282,245008906
1362,1283,245008918
1360,1278,245008928
1368,1294,245008939
1374,1319,245008951
1369,1318,245008961
1354,1316,245008973
1356,1319,245008984
1358,1309,245008994
1360,1312,245009006
1380,1295,245009017
1394,1287,245009028
1462,1336,245009040
1482,1352,245009050
1518,1374,245009061
1536,1386,245009074
1581,1423,245009086
1588,1431,245009095
1591,1434,245009107
1586,1432,245009117
1588,1441,245009128
1588,1440,245009141
1586,1439,245009152
1585,1441,245009161
1586,1440,245009172
1589,1438,245009187
1588,1437,245009197
1584,1431,245009206
1584,1426,245009217
1583,1424,245009228
1593,1427,245009240
1596,1428,245009250
1594,1426,245009261
1592,1427,245009273
1600,1441,245009284
1595,1430,245009294
1604,1430,245009306
1672,1425,245009317
1890,1393,245009328
2077,1350,245009339
2163,1329,245009352
2262,1306,245009365
