X Gaze Data, Y Gaze Data, Time 
1290,280,154728431
1289,281,154728442
1289,281,154728453
1282,283,154728464
1279,284,154728475
1278,285,154728489
1278,289,154728498
1273,289,154728509
1264,284,154728520
1259,279,154728531
1258,279,154728542
1255,276,154728554
1252,272,154728565
1253,272,154728575
1290,280,154728431
1289,281,154728442
1289,281,154728453
1282,283,154728464
1279,284,154728475
1278,285,154728489
1278,289,154728498
1273,289,154728509
1264,284,154728520
1259,279,154728531
1258,279,154728542
1255,276,154728554
1252,272,154728565
1253,272,154728575
1253,272,154728595
1252,271,154728598
1252,270,154728608
1253,259,154728621
1253,259,154728630
1252,260,154728642
1252,264,154728653
1253,266,154728664
1255,264,154728675
1255,266,154728688
1255,267,154728699
1255,268,154728709
1256,272,154728720
1259,263,154728735
1259,267,154728745
1257,262,154728754
1253,259,154728764
1253,264,154728774
1253,263,154728787
1251,272,154728797
1252,275,154728808
1252,277,154728820
1252,280,154728830
1253,288,154728842
1254,292,154728854
1256,296,154728863
1258,300,154728875
1259,297,154728887
1267,296,154728897
1269,293,154728909
1272,290,154728924
1269,292,154728938
1264,297,154728944
1257,316,154728953
1290,347,154728964
1309,367,154728975
1397,493,154728988
1402,499,154728997
1410,506,154729009
1424,521,154729021
1428,522,154729030
1441,532,154729043
1441,514,154729056
1442,519,154729064
1444,507,154729104
1447,498,154729108
1449,498,154729111
1449,498,154729115
1447,497,154729120
1447,497,154729130
1448,501,154729141
1448,504,154729153
1447,504,154729164
1447,504,154729174
1445,482,154729186
1445,479,154729197
1445,480,154729208
1442,484,154729219
1442,486,154729230
1440,485,154729241
1440,478,154729253
1440,478,154729264
1444,482,154729274
1444,482,154729286
1445,484,154729297
1444,486,154729308
1444,487,154729320
1447,486,154729333
1456,491,154729342
1465,499,154729353
1479,523,154729367
1488,538,154729376
1487,540,154729386
1488,542,154729397
1492,550,154729408
1494,558,154729419
1493,558,154729430
1496,563,154729441
1500,566,154729453
1495,565,154729463
1443,540,154729474
1335,490,154729486
1243,451,154729497
1187,432,154729508
1079,408,154729519
1075,403,154729532
1062,393,154729542
1030,380,154729553
1035,367,154729563
1039,358,154729575
1045,357,154729586
1045,350,154729597
1055,350,154729608
1064,361,154729619
1064,365,154729630
1060,360,154729641
1060,357,154729653
1062,367,154729663
1065,368,154729675
1066,371,154729686
1065,385,154729696
1048,394,154729708
1047,397,154729719
1049,398,154729730
1055,402,154729740
1060,403,154729753
1082,416,154729763
1086,418,154729775
1081,412,154729786
1088,414,154729796
1084,405,154729807
1086,407,154729821
1084,407,154729830
1090,422,154729840
1091,424,154729852
1101,404,154729863
1099,408,154729874
1100,397,154729886
1102,397,154729896
1105,393,154729907
1106,389,154729919
1098,386,154729929
1100,384,154729942
1100,384,154729953
1097,386,154729963
1093,385,154729974
1088,385,154729986
1083,348,154729997
1082,346,154730008
1083,336,154730019
1080,332,154730029
1079,331,154730041
1085,331,154730052
1081,331,154730067
1090,332,154730077
1156,348,154730086
1270,386,154730096
1308,398,154730107
1375,422,154730119
1393,427,154730130
1435,442,154730140
1486,460,154730152
1606,503,154730162
1662,522,154730174
1674,525,154730185
1679,524,154730196
1688,526,154730207
1707,520,154730219
1721,518,154730230
1725,518,154730241
1733,514,154730252
1736,512,154730263
1736,511,154730274
1741,511,154730286
1751,516,154730296
1761,523,154730307
1764,524,154730319
1783,529,154730330
1773,528,154730340
1780,533,154730352
1791,547,154730364
1807,555,154730374
1810,556,154730386
1824,559,154730396
1828,551,154730407
1832,549,154730419
1836,542,154730430
1838,540,154730440
1845,535,154730452
1844,541,154730463
1836,548,154730474
1772,536,154730486
1668,463,154730500
1636,438,154730507
1621,429,154730518
1608,419,154730530
1515,364,154730540
1441,311,154730553
1404,285,154730562
1393,259,154730574
1391,236,154730586
1396,247,154730596
1386,229,154730607
1387,228,154730622
1386,230,154730632
1385,233,154730640
1379,223,154730652
1379,222,154730662
1376,217,154730673
1375,213,154730685
1374,212,154730696
1373,209,154730708
1374,216,154730719
1375,223,154730729
1377,217,154730740
1389,231,154730752
1395,236,154730762
1404,244,154730773
1426,255,154730785
1428,256,154730795
1430,256,154730807
1454,265,154730818
1503,292,154730829
1773,444,154730840
