X Gaze Data, Y Gaze Data, Time 
1968,366,210020260
1955,366,210020271
1939,366,210020282
1921,369,210020293
1918,369,210020304
1885,378,210020314
1883,379,210020326
1870,377,210020338
1862,377,210020351
1846,379,210020359
1853,381,210020371
1900,408,210020381
2002,462,210020392
2034,478,210020406
2051,486,210020414
2077,497,210020428
2102,509,210020438
2112,515,210020448
2116,518,210020459
2111,517,210020473
2105,518,210020481
2107,514,210020492
2106,510,210020504
2106,509,210020515
2103,507,210020525
2099,508,210020537
2098,507,210020548
2097,511,210020559
2097,510,210020571
2096,512,210020581
2095,512,210020592
2095,511,210020604
2099,507,210020615
2097,508,210020626
2090,510,210020637
2051,518,210020648
2012,522,210020659
1711,547,210020670
1601,560,210020680
1442,561,210020692
1433,598,210020736
1525,661,210020747
1538,659,210020759
1573,651,210020771
1589,648,210020781
1629,649,210020792
1677,632,210020805
1682,637,210020814
1686,641,210020826
1688,643,210020837
1691,646,210020851
1689,645,210020859
1688,648,210020870
1688,648,210020881
1688,648,210020892
1691,646,210020904
1694,646,210020914
1695,647,210020926
1697,648,210020939
1696,649,210020948
1696,651,210020959
1695,654,210020970
1696,655,210020981
1696,657,210020995
1691,657,210021004
1690,658,210021015
1688,658,210021026
1687,656,210021037
1688,656,210021047
1689,655,210021059
1695,656,210021071
1694,653,210021081
1692,650,210021092
1670,626,210021104
1626,564,210021115
1577,496,210021126
1565,479,210021137
1547,454,210021147
1532,434,210021159
1522,421,210021171
1416,271,210021185
1408,260,210021193
1404,253,210021204
1408,258,210021214
1423,249,210021225
1419,251,210021237
1524,263,210021247
2094,322,210021259
2165,323,210021271
2186,323,210021281
2209,323,210021292
2228,323,210021303
2261,323,210021314
2282,316,210021325
2286,312,210021337
2289,309,210021349
2290,309,210021359
2291,309,210021370
2288,308,210021381
2286,310,210021391
2287,310,210021403
2286,310,210021414
2287,310,210021425
2287,311,210021439
2286,312,210021448
2289,313,210021459
2295,318,210021470
2302,317,210021480
2322,314,210021492
2356,300,210021503
2362,299,210021513
2365,299,210021525
2375,299,210021536
2383,298,210021547
2388,295,210021558
2393,290,210021570
2395,289,210021580
2396,290,210021592
2396,287,210021604
2398,284,210021614
2399,283,210021626
2400,281,210021637
2398,278,210021647
2394,276,210021658
2393,275,210021670
2393,275,210021680
2397,276,210021692
2399,278,210021703
2400,278,210021714
2398,280,210021726
2396,279,210021736
2391,280,210021747
2391,280,210021758
2391,282,210021769
2390,283,210021780
2390,285,210021792
2388,285,210021803
2392,284,210021815
2395,287,210021826
2397,291,210021836
2397,296,210021847
2398,296,210021858
2396,296,210021870
2392,298,210021880
2391,298,210021892
2388,301,210021903
2389,302,210021913
2391,300,210021925
2373,305,210021936
2364,307,210021947
2338,309,210021958
2081,341,210021970
1547,433,210021980
1541,435,210021991
1529,438,210022003
