X Gaze Data, Y Gaze Data, Time 
2181,559,214885002
2327,550,214885017
2286,555,214885024
2256,557,214885035
2252,538,214885046
2266,499,214885057
2264,493,214885068
2270,477,214885080
2295,453,214885090
2297,449,214885101
2320,422,214885113
2335,405,214885124
2332,394,214885134
2339,387,214885146
2342,382,214885157
2351,380,214885168
2361,376,214885180
2364,370,214885191
2366,369,214885201
2368,364,214885213
2371,364,214885224
2377,363,214885235
2376,361,214885247
2375,357,214885258
2375,350,214885268
2381,330,214885280
2386,321,214885291
2386,321,214885301
2390,317,214885313
2392,316,214885325
2393,314,214885336
2393,313,214885349
2394,310,214885361
2396,305,214885368
2396,304,214885380
2395,301,214885391
2395,301,214885401
2397,296,214885414
2405,291,214885424
2415,285,214885435
2414,281,214885447
2413,280,214885458
2414,280,214885468
2414,282,214885480
2417,284,214885491
2417,287,214885501
2416,287,214885518
2413,287,214885539
2413,286,214885545
2413,285,214885549
2397,272,214885557
2398,274,214885568
2351,283,214885582
2136,301,214885592
1695,310,214885600
1533,305,214885614
1515,306,214885632
1502,308,214885642
1493,309,214885649
1478,311,214885657
1404,313,214885669
1388,317,214885680
1386,317,214885690
1389,325,214885701
1390,318,214885713
1391,322,214885724
1395,331,214885734
1396,335,214885748
1396,335,214885757
1392,331,214885770
1389,327,214885780
1390,328,214885791
1388,325,214885801
1385,324,214885813
1380,327,214885824
1375,328,214885835
1372,331,214885846
1373,332,214885857
1373,332,214885868
1371,332,214885880
1368,330,214885891
1366,329,214885901
1345,320,214885913
1280,294,214885924
1260,285,214885934
1241,279,214885946
1229,276,214885957
1207,268,214885969
1182,258,214885979
1183,256,214885991
1185,256,214886001
1185,256,214886013
1185,257,214886024
1190,257,214886035
1274,249,214886046
2106,170,214886057
2141,168,214886068
2159,166,214886080
2176,165,214886090
2193,162,214886101
2199,160,214886113
2209,159,214886124
2217,164,214886135
2217,169,214886146
2212,177,214886158
2208,178,214886173
2211,171,214886179
2210,176,214886190
2210,177,214886201
2210,177,214886213
2206,182,214886224
2206,182,214886235
2204,184,214886246
2201,184,214886257
2192,186,214886268
2194,189,214886279
2194,189,214886290
2189,187,214886301
2154,168,214886313
1961,-11,214886324
1936,-32,214886334
1920,-44,214886346
1905,-56,214886357
1888,-72,214886368
1873,-86,214886379
1825,-128,214886390
1820,-130,214886401
1821,-128,214886420
1816,-134,214886425
1812,-136,214886434
1810,-137,214886446
1808,-138,214886457
1807,-137,214886467
1803,-135,214886479
1802,-135,214886490
1801,-135,214886501
1800,-134,214886512
1801,-134,214886524
1802,-133,214886534
1801,-133,214886546
1799,-128,214886557
1797,-125,214886567
1800,-123,214886579
1799,-118,214886590
1801,-119,214886601
1788,-113,214886614
1789,-112,214886623
1731,-107,214886634
1283,-103,214886646
1274,-102,214886657
1268,-100,214886667
1259,-98,214886679
1251,-97,214886690
1236,-97,214886700
1227,-91,214886712
1221,-89,214886723
1221,-89,214886734
1219,-93,214886746
1219,-94,214886757
1215,-96,214886767
1212,-101,214886779
1210,-104,214886790
1223,-104,214886800
1222,-104,214886814
1241,-102,214886823
1653,-83,214886834
1724,-77,214886845
1752,-75,214886856
1772,-74,214886867
1789,-73,214886879
1822,-70,214886890
1823,-69,214886901
1827,-68,214886912
1821,-67,214886923
1820,-68,214886934
1821,-71,214886945
1823,-72,214886957
1824,-73,214886967
1824,-73,214886979
1822,-75,214886990
1821,-76,214887000
1822,-77,214887016
1823,-80,214887023
1825,-82,214887034
1826,-84,214887045
1828,-87,214887057
1830,-94,214887067
1832,-93,214887078
1833,-92,214887091
1834,-90,214887104
1834,-85,214887115
1834,-87,214887127
1831,-87,214887134
1830,-87,214887145
1828,-84,214887157
1829,-84,214887169
1831,-86,214887178
1833,-85,214887190
1833,-85,214887202
1832,-85,214887212
1832,-85,214887223
1815,-84,214887234
1705,-83,214887249
1292,-99,214887257
1262,-101,214887269
1228,-106,214887278
1205,-110,214887290
1186,-111,214887300
1167,-116,214887312
1140,-121,214887323
1136,-121,214887333
1135,-121,214887345
1132,-114,214887357
1130,-114,214887367
1130,-111,214887378
1130,-111,214887389
1130,-108,214887401
1145,-99,214887412
1142,-101,214887423
1173,-99,214887433
1580,-74,214887445
1739,-77,214887457
1758,-79,214887467
1776,-82,214887478
1797,-84,214887491
1822,-86,214887502
1833,-90,214887511
1837,-91,214887523
1836,-97,214887533
1837,-98,214887545
1833,-96,214887556
1832,-93,214887567
1832,-92,214887578
1832,-92,214887589
1831,-91,214887600
1831,-91,214887611
1832,-91,214887625
1832,-91,214887634
1834,-89,214887645
1835,-88,214887656
1836,-87,214887666
1838,-84,214887678
1838,-82,214887691
1838,-77,214887700
1837,-73,214887711
1838,-73,214887723
1838,-71,214887734
1836,-66,214887745
1830,-55,214887756
1828,-53,214887766
1830,-49,214887778
1830,-47,214887790
1829,-43,214887799
1830,-49,214887811
1828,-46,214887823
1802,-41,214887834
1592,-19,214887845
1126,22,214887856
1114,23,214887867
1101,25,214887878
1088,26,214887889
1072,27,214887900
1064,27,214887911
1059,28,214887922
1059,28,214887933
1062,29,214887945
1067,29,214887955
1064,31,214887966
1064,32,214887977
1063,38,214887989
1060,43,214888000
1056,44,214888012
1052,39,214888022
1044,27,214888033
1042,25,214888046
1039,20,214888055
1033,6,214888067
1032,-2,214888077
1032,-5,214888089
1035,-6,214888100
1037,-1,214888111
1039,4,214888122
1039,3,214888133
1036,-1,214888143
1032,-1,214888154
1018,6,214888165
1023,10,214888178
1036,19,214888188
1036,20,214888199
1036,18,214888211
1038,18,214888222
1040,10,214888232
1030,8,214888243
1031,13,214888255
1030,16,214888266
1032,18,214888277
1030,21,214888289
1032,24,214888300
1039,47,214888310
1041,44,214888321
1072,75,214888332
1074,74,214888344
1094,66,214888355
1103,69,214888366
1105,75,214888377
1114,73,214888387
1135,83,214888398
1138,77,214888410
1141,78,214888421
1134,85,214888432
1142,93,214888444
1146,97,214888455
1145,96,214888468
1138,92,214888476
1135,94,214888498
1138,93,214888510
1140,98,214888522
1146,123,214888532
1144,130,214888544
1145,131,214888555
1163,135,214888566
1199,139,214888577
1222,141,214888589
1226,141,214888599
1210,139,214888610
1233,136,214888622
1254,124,214888648
1254,122,214888652
1233,114,214888656
1237,116,214888665
1253,127,214888677
1254,126,214888688
1256,128,214888699
1258,130,214888710
1261,136,214888721
1260,139,214888732
1268,144,214888743
1276,143,214888755
1275,144,214888765
1272,138,214888777
1269,130,214888788
1265,119,214888798
1266,110,214888810
1267,108,214888821
1269,90,214888832
1266,73,214888844
1266,83,214888855
1271,75,214888865
1270,73,214888879
1271,76,214888888
1249,71,214888898
1156,48,214888914
1134,42,214888922
1124,40,214888936
1110,34,214888946
1103,25,214888956
1097,19,214888965
1094,15,214888977
1090,9,214888988
1090,0,214888999
1089,-4,214889010
1087,-13,214889021
1088,-11,214889032
1086,-17,214889043
1085,-24,214889054
1085,-38,214889065
1104,-39,214889076
1239,-54,214889088
1248,-56,214889101
1259,-59,214889110
1267,-63,214889121
1295,-67,214889133
1295,-77,214889143
1296,-85,214889155
1298,-90,214889165
1302,-88,214889177
1301,-94,214889188
1301,-101,214889198
1300,-103,214889210
1300,-111,214889221
1300,-113,214889232
1299,-117,214889243
1298,-122,214889254
1296,-138,214889265
1296,-137,214889277
