X Gaze Data, Y Gaze Data, Time 
1662,711,243615774
1657,693,243615783
1655,688,243615794
1654,688,243615806
1654,689,243615817
1655,688,243615832
1664,681,243615838
1665,679,243615851
1665,688,243615861
1664,687,243615871
1667,691,243615883
1685,705,243615895
1691,713,243615905
1686,714,243615916
1671,704,243615928
1666,700,243615938
1670,702,243615950
1676,693,243615958
1703,629,243615971
1702,631,243615983
1701,627,243615992
1700,643,243616005
1709,634,243616017
1678,684,243616027
1673,688,243616038
1671,695,243616050
1665,706,243616061
1669,716,243616071
1678,706,243616083
1678,695,243616103
1673,674,243616106
1677,671,243616116
1684,664,243616129
1703,651,243616138
1704,648,243616150
1701,659,243616161
1701,658,243616172
1700,658,243616183
1700,656,243616194
1703,660,243616205
1705,642,243616216
1715,644,243616230
1715,646,243616238
1714,642,243616250
1695,638,243616261
1663,632,243616273
1377,577,243616282
1328,566,243616294
1259,559,243616305
1222,554,243616317
1176,549,243616328
1131,535,243616339
1074,523,243616351
1044,508,243616362
1043,498,243616371
1038,473,243616383
1039,468,243616395
1036,468,243616405
1034,466,243616416
1023,458,243616427
1022,458,243616438
1019,453,243616450
1007,455,243616465
1006,461,243616471
1006,462,243616482
1003,460,243616496
997,454,243616505
992,452,243616515
996,456,243616530
998,458,243616538
1006,457,243616549
1010,458,243616561
1008,469,243616571
1009,470,243616583
1013,466,243616594
1022,460,243616605
1022,459,243616616
1025,457,243616627
1032,450,243616638
1043,434,243616649
1049,425,243616661
1056,419,243616672
1056,427,243616682
1064,422,243616694
1069,418,243616704
1079,415,243616715
1080,412,243616727
1080,400,243616743
1079,402,243616749
1077,395,243616760
1083,386,243616773
1081,384,243616783
1082,381,243616794
1079,378,243616805
1068,370,243616816
1048,371,243616828
1036,371,243616837
1029,373,243616848
996,399,243616861
983,397,243616871
982,398,243616882
980,395,243616894
981,386,243616905
981,387,243616916
981,387,243616928
982,388,243616938
985,392,243616949
997,402,243616960
1000,399,243616971
998,394,243616983
1000,395,243616994
995,395,243617004
992,399,243617015
989,397,243617027
989,397,243617039
986,395,243617049
983,393,243617060
981,391,243617071
986,360,243617082
981,361,243617094
980,359,243617104
980,359,243617116
980,355,243617126
983,363,243617137
985,362,243617148
984,357,243617159
983,353,243617170
979,346,243617182
981,346,243617193
985,348,243617204
986,349,243617215
990,358,243617227
994,364,243617237
999,375,243617251
995,372,243617260
998,375,243617271
997,373,243617282
995,378,243617293
994,375,243617304
994,372,243617315
1003,367,243617326
999,363,243617337
994,369,243617349
984,377,243617360
979,377,243617371
978,377,243617382
977,379,243617393
969,385,243617404
964,388,243617415
960,402,243617427
958,399,243617437
960,399,243617448
1009,410,243617460
1210,454,243617471
1419,513,243617482
1515,544,243617493
1573,560,243617515
1604,568,243617519
1641,570,243617527
1646,566,243617538
1644,563,243617549
1642,561,243617560
1629,566,243617571
1624,575,243617582
1615,579,243617593
1614,577,243617604
1604,576,243617617
1578,584,243617627
1574,583,243617638
1574,584,243617649
1574,585,243617660
1565,590,243617670
1558,583,243617683
1519,530,243617694
1279,202,243617704
1265,185,243617716
1246,147,243617727
1241,127,243617737
1236,113,243617748
1227,104,243617759
1223,83,243617772
1220,76,243617783
1223,76,243617793
1225,77,243617804
1222,74,243617815
1220,75,243617826
1219,76,243617837
1231,94,243617851
1229,87,243617860
1231,89,243617870
1222,80,243617882
1216,74,243617894
1186,67,243617905
1165,56,243617914
1158,57,243617926
1132,32,243617936
1117,21,243617948
1116,38,243617960
1117,52,243617970
1116,55,243617984
1116,54,243617994
1113,51,243618004
1112,49,243618016
1113,48,243618026
1113,45,243618037
1108,40,243618050
1104,39,243618060
1101,43,243618070
1101,40,243618080
1101,33,243618092
1061,-9,243618137
1054,-11,243618148
1052,18,243618159
1054,23,243618170
1061,28,243618182
1074,35,243618193
1071,36,243618204
1069,34,243618216
1063,31,243618225
1039,6,243618242
1032,-1,243618247
1047,10,243618259
1021,-56,243618273
1012,-63,243618282
1017,-52,243618292
1016,-57,243618305
1016,-54,243618315
1024,-55,243618326
1027,-59,243618337
1028,-56,243618348
1032,-61,243618360
1051,-51,243618370
1057,-52,243618380
1094,-57,243618391
1124,-131,243618403
1130,-152,243618415
1138,-177,243618426
1122,-201,243618437
1127,-207,243618448
1135,-222,243618458
1133,-231,243618470
1144,-228,243618481
1174,-224,243618493
1152,-235,243618503
1141,-258,243618514
1132,-277,243618525
1146,-288,243618536
1156,-270,243618548
1146,-247,243618558
1129,-218,243618570
1138,-232,243618580
1144,-243,243618592
1146,-252,243618603
1150,-258,243618614
1154,-265,243618625
1166,-284,243618637
1189,-309,243618647
1212,-328,243618658
1291,-406,243619448
1524,-368,243619462
1458,-372,243619473
1426,-371,243619485
1383,-331,243619492
1379,-337,243619503
1335,-306,243619514
1177,-300,243619529
1124,-301,243619536
1096,-297,243619547
1134,-301,243619558
1070,-269,243619569
1020,-241,243619581
1026,-212,243619594
1007,-200,243619603
1015,-179,243619614
1023,-153,243619625
1024,-144,243619636
1024,-135,243619650
1024,-123,243619659
1019,-95,243619669
1014,-60,243619681
1011,-38,243619692
1010,-30,243619703
1013,-8,243619716
1012,-15,243619725
1014,-7,243619736
1015,3,243619747
1018,22,243619759
1020,36,243619769
1030,56,243619782
1030,56,243619792
1034,66,243619802
1039,78,243619814
1040,83,243619825
1040,87,243619836
1039,90,243619849
1039,92,243619860
1045,103,243619870
1044,97,243619881
1048,100,243619893
1086,107,243619903
1142,119,243619914
1163,122,243619926
1180,124,243619938
1191,123,243619947
1207,133,243619959
1212,134,243619969
1214,136,243619981
1220,133,243619992
1218,132,243620003
1219,131,243620014
1218,131,243620025
1218,131,243620035
1218,133,243620047
1217,133,243620058
1217,145,243620069
1218,145,243620080
1219,153,243620092
1220,153,243620102
1224,158,243620114
1233,163,243620125
1288,167,243620137
1298,167,243620148
1308,166,243620158
1313,165,243620169
1326,165,243620180
1331,165,243620193
1354,163,243620202
1357,163,243620215
1357,165,243620228
1357,166,243620236
1356,174,243620247
1357,176,243620259
1356,181,243620269
1357,180,243620280
1357,181,243620292
1359,181,243620302
1363,184,243620314
1366,183,243620325
1365,185,243620335
1364,189,243620347
1364,188,243620358
1365,189,243620369
1364,188,243620380
1364,188,243620392
1364,191,243620402
1362,192,243620414
1358,197,243620426
1355,199,243620435
1356,199,243620447
1354,201,243620458
1353,201,243620469
1351,202,243620480
1350,201,243620492
1349,201,243620504
1349,201,243620531
1351,198,243620535
1352,198,243620539
1352,198,243620548
1352,194,243620558
1356,188,243620568
1348,190,243620580
1279,206,243620592
1272,205,243620602
1268,205,243620613
1255,197,243620626
1253,197,243620635
1245,197,243620647
1245,197,243620658
1247,200,243620669
1250,198,243620680
1253,196,243620693
1255,195,243620702
1254,193,243620716
1253,193,243620724
1252,193,243620738
1252,193,243620747
1251,193,243620776
1250,192,243620783
1249,193,243620788
1248,194,243620792
1249,194,243620802
1249,195,243620813
1257,202,243620825
1257,201,243620835
1273,201,243620847
1342,196,243620858
1355,195,243620868
