X Gaze Data, Y Gaze Data, Time 
1546,604,244193347
1546,604,244193347
1546,604,244193358
1546,604,244193358
1586,542,244193368
1586,542,244193368
1571,461,244193380
1571,461,244193380
1570,463,244193391
1570,463,244193391
1569,469,244193402
1569,469,244193402
1573,460,244193414
1588,465,244193424
1607,472,244193446
1631,480,244193449
1572,447,244193457
1182,265,244193468
1073,248,244193479
1089,242,244193490
1089,240,244193516
1046,226,244193522
1042,210,244193525
1024,204,244193536
1031,165,244193547
1035,178,244193558
1053,195,244193569
1050,196,244193580
1064,203,244193592
1067,206,244193602
1074,214,244193617
1083,252,244193629
1088,259,244193639
1090,267,244193649
1096,275,244193658
1099,271,244193669
1112,298,244193681
1119,313,244193692
1119,313,244193702
1123,315,244193719
1124,314,244193725
1127,320,244193735
1129,322,244193748
1131,326,244193758
1133,329,244193769
1135,337,244193781
1135,344,244193792
1135,345,244193802
1135,351,244193814
1136,351,244193825
1140,356,244193835
1139,360,244193847
1143,369,244193858
1143,369,244193870
1146,376,244193880
1146,380,244193892
1143,386,244193903
1148,385,244193916
1146,380,244193924
1137,354,244193934
1141,323,244193949
1143,322,244193957
1146,306,244193972
1148,296,244193983
1159,286,244193992
1161,283,244194002
1161,279,244194014
1164,275,244194026
1163,276,244194037
1164,276,244194047
1173,271,244194057
1175,234,244194068
1171,229,244194080
1153,230,244194091
1160,233,244194102
1160,235,244194113
1164,242,244194125
1165,245,244194135
1162,249,244194147
1177,265,244194158
1180,277,244194169
1184,282,244194180
1184,281,244194192
1185,283,244194202
1174,273,244194213
1168,266,244194225
1176,264,244194235
1182,264,244194247
1188,268,244194258
1187,268,244194268
1192,271,244194280
1192,270,244194291
1190,262,244194302
1189,261,244194313
1189,261,244194324
1193,264,244194335
1204,264,244194347
1205,262,244194358
1204,260,244194369
1190,240,244194380
1190,241,244194391
1189,240,244194402
1188,239,244194415
1186,245,244194424
1184,245,244194435
1181,244,244194447
1177,257,244194458
1175,261,244194468
1166,275,244194480
1165,278,244194491
1174,278,244194502
1183,276,244194514
1184,277,244194526
1191,280,244194535
1193,282,244194547
1193,282,244194557
1182,290,244194567
1186,286,244194579
1187,286,244194590
1202,281,244194601
1214,278,244194612
1204,309,244194647
1203,319,244194657
1214,313,244194669
1228,290,244194680
1232,275,244194691
1227,273,244194703
1228,270,244194714
1228,268,244194724
1228,268,244194737
1225,264,244194747
1217,256,244194758
1213,252,244194768
1218,246,244194781
1221,241,244194791
1224,235,244194802
1231,230,244194814
1230,228,244194824
1231,228,244194835
1238,221,244194847
1234,222,244194857
1234,223,244194868
1234,222,244194881
1229,224,244194891
1227,224,244194901
1214,230,244194913
1212,231,244194924
1210,232,244194935
1206,235,244194947
1201,240,244194957
1199,240,244194968
1199,241,244194980
1200,240,244194992
1224,242,244195001
1217,242,244195013
1252,272,244195024
1592,576,244195034
1708,706,244195047
1723,723,244195057
1733,734,244195068
1745,749,244195080
1760,768,244195091
1763,785,244195102
1760,803,244195113
1755,813,244195124
1741,829,244195135
1742,823,244195146
1743,823,244195156
1732,833,244195168
