X Gaze Data, Y Gaze Data, Time 
1566,19,214064004
1565,20,214064015
1537,21,214064028
1524,22,214064037
1517,22,214064049
1509,22,214064060
1501,18,214064071
1498,23,214064082
1487,32,214064093
1486,32,214064104
1478,30,214064115
1477,26,214064126
1480,22,214064137
1477,27,214064148
1483,27,214064160
1525,23,214064170
1552,17,214064182
1568,11,214064193
1580,6,214064204
1594,0,214064216
1606,-7,214064227
1606,-10,214064237
1606,-13,214064249
1608,-23,214064260
1608,-21,214064270
1607,-21,214064283
1606,-12,214064293
1607,-9,214064304
1607,-8,214064315
1607,-5,214064327
1608,-10,214064336
1598,-12,214064347
1605,-8,214064381
1611,-7,214064392
1611,-7,214064402
1610,-10,214064437
1090,75,214064448
1072,72,214064460
1061,73,214064470
1050,74,214064481
1043,78,214064492
1047,59,214064502
1022,75,214064536
1021,70,214064548
1017,71,214064558
1024,47,214064569
1036,77,214064603
1054,84,214064615
1052,77,214064627
1050,68,214064637
1045,52,214064648
1050,66,214064658
1052,70,214064669
1045,92,214064702
1044,90,214064714
1046,87,214064725
1043,90,214064735
1066,63,214064759
1088,64,214064770
1114,53,214064781
1130,52,214064793
1141,53,214064803
1147,64,214064814
1139,59,214064825
1150,74,214064869
1153,89,214064880
1160,81,214064892
1163,56,214064903
1178,49,214064914
1179,56,214064926
1181,59,214064936
1180,68,214064948
1180,69,214064959
1180,71,214064970
1174,70,214064980
1177,71,214064991
1182,67,214065025
1215,45,214065035
1237,38,214065048
1282,50,214065058
1289,53,214065069
1304,58,214065081
1315,57,214065092
1319,59,214065103
1322,57,214065117
1324,55,214065126
1327,54,214065136
1325,56,214065147
1323,56,214065158
1314,51,214065180
1309,49,214065192
1310,46,214065202
1303,29,214065216
1304,23,214065238
1314,50,214065248
1309,47,214065259
1300,57,214065273
1301,62,214065282
1312,63,214065293
1355,57,214065304
1378,65,214065318
1393,75,214065325
1444,84,214065335
1462,71,214065347
1474,61,214065359
1472,54,214065368
1456,38,214065380
1457,34,214065392
1459,35,214065402
1462,33,214065415
1462,30,214065426
1461,28,214065439
1459,30,214065447
1460,29,214065459
1460,26,214065469
1462,20,214065482
1464,11,214065492
1466,5,214065503
1465,1,214065514
1465,0,214065524
1465,0,214065535
1466,-1,214065547
1466,-20,214065558
1466,-16,214065570
1463,-13,214065581
1460,-12,214065592
1466,-10,214065602
1468,-8,214065614
1477,-11,214065625
1542,-21,214065635
1549,-22,214065647
1554,-22,214065661
1574,-21,214065670
1576,-21,214065681
1584,-23,214065692
1600,-24,214065703
1604,-21,214065714
1606,-22,214065725
1607,-20,214065736
1607,-19,214065747
1607,-18,214065759
1605,-15,214065769
1604,-15,214065780
1603,-14,214065792
1604,-14,214065801
1602,-12,214065813
1603,-12,214065825
1601,-8,214065836
1600,-6,214065849
1595,-11,214065859
1596,-15,214065869
1590,-14,214065881
1538,-10,214065892
1202,7,214065902
1195,6,214065914
1186,7,214065925
1170,7,214065936
1150,8,214065947
1133,8,214065958
1091,8,214065969
1078,7,214065980
1071,5,214065992
1071,5,214066002
1069,4,214066014
1066,2,214066025
1066,1,214066037
1065,1,214066048
1064,0,214066059
1066,-2,214066069
1069,-5,214066080
1069,-7,214066093
1064,-6,214066102
1063,-5,214066114
1062,-8,214066125
1063,-8,214066136
1063,-11,214066147
1063,-16,214066158
1062,-19,214066169
1061,-21,214066180
1058,-23,214066192
1053,-22,214066202
1056,-22,214066214
1076,-22,214066225
1135,-18,214066235
1168,-16,214066247
1208,-10,214066259
1219,-11,214066274
1226,-13,214066284
1234,-26,214066292
1236,-28,214066302
1236,-29,214066313
1240,-23,214066325
1240,-26,214066336
1240,-27,214066347
1240,-27,214066359
1239,-27,214066369
1235,-25,214066380
1234,-26,214066391
1233,-26,214066402
1234,-29,214066414
1233,-30,214066425
1232,-30,214066435
1228,-35,214066447
1230,-40,214066459
1228,-43,214066470
1232,-48,214066479
1237,-51,214066491
1233,-38,214066502
1234,-40,214066513
1231,-37,214066525
1230,-43,214066535
1228,-57,214066547
1227,-63,214066558
1227,-66,214066569
1225,-73,214066580
1226,-75,214066592
1226,-82,214066602
1225,-83,214066613
1223,-89,214066625
1223,-92,214066644
1223,-93,214066648
1229,-90,214066658
1233,-90,214066669
1274,-94,214066680
1319,-107,214066692
1322,-108,214066702
1326,-110,214066713
1329,-109,214066725
1331,-109,214066735
1334,-109,214066747
1332,-112,214066758
1335,-116,214066768
1334,-120,214066780
1335,-121,214066791
1334,-121,214066802
1333,-116,214066813
1331,-117,214066825
1332,-118,214066835
1332,-119,214066847
1334,-117,214066858
1334,-117,214066872
1336,-116,214066880
1335,-117,214066896
1335,-119,214066902
1334,-117,214066913
1330,-115,214066925
1326,-108,214066935
1327,-107,214066947
1330,-106,214066958
1330,-105,214066968
1331,-105,214066980
1335,-105,214066992
1339,-104,214067002
1412,-98,214067013
1444,-97,214067025
1468,-97,214067035
1492,-99,214067046
1511,-102,214067058
1516,-103,214067068
1527,-104,214067080
1527,-102,214067096
1527,-100,214067105
1524,-95,214067114
1521,-95,214067125
1516,-93,214067136
1514,-91,214067147
1514,-91,214067165
1523,-84,214067173
1529,-78,214067180
1530,-74,214067191
1529,-74,214067202
1527,-75,214067213
1527,-72,214067225
1531,-67,214067235
1537,-62,214067247
1537,-61,214067258
1538,-59,214067269
1538,-57,214067280
1538,-48,214067292
1544,-48,214067303
1588,-45,214067315
1597,-43,214067324
1602,-42,214067335
1610,-42,214067346
1627,-44,214067358
1640,-46,214067368
1643,-48,214067379
1640,-49,214067391
1639,-50,214067402
1639,-50,214067413
1610,-42,214067425
1603,-40,214067435
1533,-33,214067446
1120,5,214067458
1103,6,214067468
1088,7,214067479
1078,6,214067491
1066,6,214067503
1030,6,214067513
1021,0,214067525
1018,-2,214067535
1018,-1,214067546
1019,-9,214067558
1020,-10,214067568
1020,-13,214067579
1019,-13,214067591
1019,-12,214067601
1019,-13,214067613
1019,-12,214067624
1019,-11,214067635
1021,-8,214067646
1024,1,214067658
1024,2,214067668
1028,4,214067679
1030,5,214067691
1031,5,214067701
1030,2,214067713
1032,4,214067724
1036,2,214067735
1039,3,214067746
1062,5,214067757
1125,14,214067768
1172,24,214067780
1188,28,214067791
1197,30,214067801
1205,31,214067812
1217,34,214067824
1219,34,214067834
1221,35,214067846
1222,37,214067858
1222,38,214067868
1224,38,214067879
1223,38,214067890
1229,37,214067901
1230,37,214067912
1231,37,214067925
1235,36,214067935
1234,34,214067946
1247,37,214067957
1329,48,214067968
1333,48,214067979
1349,49,214067991
1353,49,214068001
1362,52,214068012
1369,56,214068024
1374,60,214068034
1377,65,214068046
1377,72,214068057
1372,72,214068068
1373,73,214068079
1374,75,214068091
1375,75,214068101
1377,75,214068112
1378,74,214068124
1374,72,214068135
1374,70,214068145
1373,70,214068157
1368,74,214068168
1369,78,214068179
1369,78,214068191
1369,79,214068202
1365,81,214068212
1365,83,214068224
1366,82,214068234
1364,81,214068246
1381,83,214068257
1433,86,214068268
1452,87,214068279
1491,75,214068290
1493,74,214068301
1497,75,214068312
1496,85,214068324
1499,88,214068334
1500,85,214068346
1495,86,214068357
1480,83,214068367
1480,81,214068382
1479,80,214068396
1483,78,214068400
1486,75,214068412
1489,73,214068424
1489,73,214068434
1487,73,214068445
1487,73,214068457
1491,69,214068467
1493,68,214068478
1492,67,214068490
1492,67,214068501
1491,69,214068512
1491,69,214068523
1493,66,214068534
1493,66,214068545
1492,68,214068557
1490,70,214068567
1491,69,214068578
1493,69,214068591
1554,67,214068601
1606,57,214068612
1607,53,214068623
1609,52,214068634
1608,53,214068645
1611,54,214068657
1613,54,214068667
1610,52,214068679
1602,50,214068690
1594,53,214068700
1597,53,214068712
1597,52,214068723
1595,51,214068734
1602,44,214068745
1597,46,214068757
1591,45,214068767
1581,49,214068780
1547,52,214068790
1232,44,214068801
1203,47,214068812
1181,49,214068823
1154,52,214068834
1133,54,214068845
1086,57,214068856
1065,55,214068867
1062,64,214068878
1064,73,214068890
1064,74,214068900
1062,75,214068912
1060,74,214068923
1059,73,214068934
1060,71,214068945
1060,67,214068956
1061,62,214068968
1063,60,214068978
1066,60,214068990
1066,60,214069000
1065,62,214069012
1065,61,214069023
1067,63,214069034
1070,63,214069045
1072,66,214069056
1068,68,214069067
1065,73,214069078
1065,71,214069090
1064,71,214069100
1085,75,214069112
1152,88,214069124
1161,91,214069134
1170,95,214069145
1204,121,214069156
1206,123,214069167
1210,125,214069178
1208,122,214069190
1200,127,214069200
1195,129,214069211
1195,128,214069223
1194,127,214069233
1201,114,214069245
1201,115,214069256
1201,114,214069266
1202,114,214069278
1203,114,214069289
1212,119,214069300
1212,120,214069311
1208,120,214069323
1204,120,214069333
1204,120,214069345
1206,118,214069356
1207,119,214069367
1208,120,214069378
1206,117,214069389
1206,114,214069400
1209,103,214069411
1214,90,214069426
1282,91,214069434
1288,91,214069445
1297,89,214069456
1301,88,214069466
1302,87,214069478
1304,83,214069489
1322,81,214069500
1320,81,214069511
1319,83,214069523
1318,85,214069533
1316,86,214069544
1312,86,214069556
1311,85,214069567
1312,87,214069578
1312,88,214069589
1313,88,214069600
1313,88,214069611
1315,87,214069623
1319,86,214069634
1323,88,214069645
1326,88,214069660
1327,88,214069667
1328,88,214069678
1333,86,214069689
1355,86,214069700
1419,85,214069711
1447,85,214069722
1460,83,214069733
1468,81,214069745
1477,78,214069756
1482,77,214069766
1487,76,214069778
1486,77,214069789
1488,76,214069800
1488,78,214069811
1487,77,214069823
1487,75,214069833
1487,67,214069844
1487,66,214069856
1489,58,214069866
1489,59,214069878
1492,56,214069889
1493,57,214069900
1497,56,214069911
1505,57,214069922
1550,52,214069933
1558,52,214069944
1580,50,214069956
1582,50,214069966
1599,42,214069978
1598,44,214069989
1603,43,214069999
1601,43,214070011
1593,54,214070022
1591,58,214070033
1591,59,214070044
1594,59,214070055
1596,59,214070066
1596,59,214070078
1598,60,214070089
1599,60,214070099
1598,55,214070111
1601,57,214070124
1596,56,214070133
1563,60,214070146
1536,64,214070156
1180,81,214070166
1168,82,214070177
1152,85,214070188
1141,87,214070199
1125,89,214070211
1050,93,214070222
1034,95,214070233
1026,101,214070244
1022,97,214070255
1017,97,214070266
1015,99,214070277
1013,100,214070289
1011,100,214070299
1008,97,214070311
1009,98,214070322
1022,94,214070333
1022,94,214070344
1019,95,214070356
1018,94,214070366
1020,94,214070378
1020,95,214070389
1024,95,214070400
1028,97,214070411
1028,100,214070422
1028,100,214070432
1029,102,214070451
1029,103,214070459
1031,101,214070468
1035,96,214070477
1037,92,214070489
1045,91,214070501
1057,89,214070511
1082,86,214070522
1091,86,214070533
1124,84,214070544
1151,70,214070555
1152,67,214070566
1152,73,214070577
1153,72,214070588
1153,72,214070599
1152,73,214070610
1152,72,214070622
1159,72,214070632
1162,70,214070644
1164,70,214070656
1165,71,214070666
1165,74,214070677
1167,76,214070689
1169,82,214070699
1171,81,214070710
1187,83,214070722
1239,93,214070736
1264,96,214070744
1276,99,214070756
1289,99,214070767
1301,99,214070777
1311,99,214070789
1310,99,214070799
1311,99,214070811
1313,99,214070822
1315,97,214070833
1314,96,214070844
